,School Name,School District,Street Address,Grades Served,Overall Rating
0,21st Century Early Learning Foundations Academy,Weslaco ISD,"400 S Oklahoma Ave, Weslaco, TX 78596",Prekindergarten,B
1,A & M Cons HS,College Station ISD,"1801 Harvey Mitchell Pkwy S, College Station, TX 77840",Grade 9 - Grade 12,B
2,A & M Consolidated MS,College Station ISD,"105 Holik Dr, College Station, TX 77840",Grade 7 - Grade 8,B
3,A B Duncan Collegiate Elem,Floydada Collegiate ISD,"1101 S 8th St, Floydada, TX 79235",Early Education - Grade 5,B
4,A B Mcbay Elem,Mexia ISD,"1000 N Ross, Mexia, TX 76667",Early Education - Grade 2,C
5,A C Blunt MS,Aransas Pass ISD,"2103 Demory Ln, Aransas Pass, TX 78336",Grade 6 - Grade 8,C
6,A C Jones HS,Beeville ISD,"1902 N Adams, Beeville, TX 78102",Grade 9 - Grade 12,B
7,A E Butler Int,Quinlan ISD,"410 Clardy Dr, Quinlan, TX 75474",Grade 3 - Grade 5,B
8,A G Elder Elem,Joshua ISD,"513 Henderson St, Joshua, TX 76058",Early Education - Grade 5,A
9,A Leal Jr MS,Harlandale ISD,"743 W Southcross Blvd, San Antonio, TX 78211",Grade 6 - Grade 8,C
10,A M Ochoa Elem,Donna ISD,"424 S 11th St, Donna, TX 78537",Prekindergarten - Grade 5,B
11,A M Pate Elem,Fort Worth ISD,"3800 Anglin Dr, Fort Worth, TX 76119",Prekindergarten - Grade 5,B
12,A N Rico Elem,Weslaco ISD,"2202 N International Blvd, Weslaco, TX 78596",Prekindergarten - Grade 5,B
13,A P Beutel Elem,Brazosport ISD,"300 Ligustrum St, Lake Jackson, TX 77566",Kindergarten - Grade 4,A
14,A P Solis MS,Donna ISD,"700 S Ave, Donna, TX 78537",Grade 6 - Grade 8,A
15,A V Cato Elem,Castleberry ISD,"4501 Barbara Rd, Fort Worth, TX 76114",Prekindergarten - Grade 5,B
16,A+ Academy Elem,A+ Academy,"10327 Rylie Rd, Dallas, TX 75217",Prekindergarten - Grade 6,C
17,A+ Secondary School,A+ Academy,"445 S Masters Dr, Dallas, TX 75217",Grade 7 - Grade 12,C
18,A+ Unlimited Potential - University,A+ Unlimited Potential,"2410 Hamilton, Houston, TX 77004",Grade 6 - Grade 8,B
19,AD Wheat MS,Cleburne ISD,"1020 Woodard Ave, Cleburne, TX 76033",Grade 6 - Grade 8,C
20,AEP,Magnolia ISD,"110 S Magnolia Blvd, Magnolia, TX 77355",Grade 9,Not Rated
21,Aaron Parker Elem,North Lamar ISD,"98 CR 44112, Powderly, TX 75473",Prekindergarten - Grade 4,Not Rated
22,Ab Harrison Int,Wylie ISD,"1001 S Ballard, Wylie, TX 75098",Grade 5 - Grade 6,A
23,Abbett Elem,Garland ISD,"730 W Muirfield Rd, Garland, TX 75044",Kindergarten - Grade 5,B
24,Abbott School,Abbott ISD,"219 S First St, Abbott, TX 76621",Prekindergarten - Grade 12,A
25,Abell JH,Midland ISD,"3201 Heritage Blvd, Midland, TX 79707",Grade 7 - Grade 8,C
26,Abernathy DAEP,Abernathy ISD,"1200 Houston, Plainview, TX 79072",Grade 8,Not Rated
27,Abernathy Elem,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Early Education - Grade 5,B
28,Abernathy HS,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Grade 9 - Grade 12,B
29,Abernathy MS,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Grade 6 - Grade 8,B
30,Abilene HS,Abilene ISD,"2800 N 6th St, Abilene, TX 79603",Grade 9 - Grade 12,B
31,About Face Program Elem,El Paso ISD,"1440 E Cliff, El Paso, TX 79904",Grade 3 - Grade 5,Not Rated
32,Abraham Kazen MS,South San Antonio ISD,"1520 Gillette Blvd, San Antonio, TX 78224",Grade 6 - Grade 8,Not Rated
33,Academy Early Childhood Center,Academy ISD,"311 N Bumblebee Dr, Little River, TX 76554",Prekindergarten - Grade 2,B
34,Academy Elem,Academy ISD,"107 S Pondalily, Little River, TX 76554",Grade 3 - Grade 5,B
35,Academy HS,Academy ISD,"602 E Main St, Little River, TX 76554",Grade 9 - Grade 12,B
36,Academy HS,Plano ISD,"1701 Alma Rd, Plano, TX 75075",Grade 9 - Grade 12,A
37,Academy JH,Academy ISD,"501 E Main St, Little River, TX 76554",Grade 6 - Grade 8,B
38,Academy at Carrie F Thomas,Birdville ISD,"8200 O'brian Way, North Richland Hills, TX 76180",Prekindergarten - Grade 5,B
39,Academy at Nola Dunn,Burleson ISD,"201 S Dobson St, Burleson, TX 76028",Kindergarten - Grade 5,B
40,Academy for Technology Engineering Math & Science,Abilene ISD,"2034 Quantum Loop, Abilene, TX 79602",Grade 9 - Grade 12,A
41,Academy of Accelerated Learning,Academy of Accelerated Learning Inc,"6711 Bellfort St, Houston, TX 77087",Grade 1 - Grade 5,Not Rated
42,Academy of Creative Ed,North East ISD,"3736 Perrin Central Bldg2, San Antonio, TX 78217",Grade 11 - Grade 12,B
43,Academy of Dallas,Academy of Dallas,"2324 S Vernon Ave, Dallas, TX 75224",Prekindergarten - Grade 8,C
44,Accelerated Int Charter School,Accelerated Intermediate Academy,"12825 Summit Rdg Dr, Houston, TX 77085",Grade 7,A
45,Accelerated Interdisciplinary Acad,Accelerated Intermediate Academy,"12825 Summit Rdg Dr, Houston, TX 77085",Prekindergarten - Grade 6,B
46,Achieve Academy,Wylie ISD,"300 Pirate Dr, Wylie, TX 75098",Grade 3 - Grade 12,A
